ヘッダ情報:伝票No.(伝票No.),ヘッダ情報:出張申請伝票No.(申請No.),ヘッダ情報:行数,明細情報:明細No.,明細情報:明細日付(日付),明細情報:明細時刻(開始)(時刻),明細情報:明細時刻(終了)(時刻),明細情報:出発地(出発),明細情報:到着地(到着),明細情報:交通機関(交通機関他),明細情報:金額(金額),明細情報:証票(領収証),明細情報:手当1CD(日当(選択)),明細情報:手当2CD(宿泊料(選択)),明細情報:手当3CD(滞在費補助(選択)),明細情報:フリー１(備考),明細情報:勘定科目名,明細情報:小計(小計),ヘッダ情報:手当計(手当計),ヘッダ情報:合計(合計),ヘッダ情報:申請者CD(申請者),ヘッダ情報:申請者名(申請者),ヘッダ情報:承認実行者1名,ヘッダ情報:承認日1,ヘッダ情報:承認実行者2名,ヘッダ情報:承認日2,ヘッダ情報:承認実行者3名,ヘッダ情報:承認日3,ヘッダ情報:承認実行者4名,ヘッダ情報:承認日4,ヘッダ情報:承認実行者5名,ヘッダ情報:承認日5
MEBAS0017797,,5,2,2026/03/30,09:45:00,10:30:00,新白河,MGC,車,0,証票なし,,,,,賃借料,0,1700,14680,AH000121,岩岬　一尋,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017797,,5,3,2026/03/30,10:00:00,15:00:00,MGCエレクトロテクノ,,作業･打合せ,0,証票なし,,,,WO-00339587,旅費交通費,0,1700,14680,AH000121,岩岬　一尋,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017797,,5,4,2026/03/30,15:00:00,15:30:00,MGC,新白河,車,0,証票なし,,,,,賃借料,0,1700,14680,AH000121,岩岬　一尋,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017797,,5,5,2026/03/30,15:50:00,18:27:00,新白河,新木,電車･ﾊﾞｽ,6490,証票あり,,,,通勤経路：日暮里　17：35,旅費交通費,6490,1700,14680,AH000121,岩岬　一尋,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017800,,7,1,2026/03/30,10:00:00,12:00:00,浦和,石岡,電車･ﾊﾞｽ,1595,証票なし,001,,,jr東日本,旅費交通費,1595,1700,6730,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/02,,
MEBAS0017800,,7,2,2026/03/30,10:30:00,12:00:00,上野,石岡,電車･ﾊﾞｽ,920,証票あり,,,,JR東日本,旅費交通費,920,1700,6730,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/02,,
MEBAS0017800,,7,3,2026/03/30,12:00:00,13:00:00,石岡,リンクステック石岡,車,0,証票なし,,,,,賃借料,0,1700,6730,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/02,,
MEBAS0017800,,7,4,2026/03/30,13:00:00,18:00:00,リンクステック石岡,,作業･打合せ,0,証票なし,,,,WO-00340821,旅費交通費,0,1700,6730,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/02,,
MEBAS0017800,,7,5,2026/03/30,18:00:00,18:30:00,リンクステック石岡,石岡,車,0,証票なし,,,,,賃借料,0,1700,6730,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/02,,
MEBAS0017800,,7,6,2026/03/30,19:10:00,20:15:00,石岡,上野,電車･ﾊﾞｽ,920,証票あり,,,,,旅費交通費,920,1700,6730,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/02,,
MEBAS0017800,,7,7,2026/03/30,19:10:00,20:40:00,石岡,浦和,電車･ﾊﾞｽ,1595,証票なし,,,,,旅費交通費,1595,1700,6730,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/02,,
MEBAS0017809,,4,1,2026/03/31,13:16:00,13:35:00,平津,石山,電車･ﾊﾞｽ,290,証票なし,002,,011,通勤経路：平津〔江若交通〕～石山駅,旅費交通費,290,5200,25760,AZ000141,水分 香織,茅野　義洋,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017809,,4,2,2026/03/31,13:38:00,17:27:00,石山,茅野,電車･ﾊﾞｽ,12670,証票あり,,,,乗車券:石山駅～茅野駅、東海道新幹線指定席:京都～名古屋、特急しなの指定席:名古屋～塩尻,旅費交通費,12670,5200,25760,AZ000141,水分 香織,茅野　義洋,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017809,,4,3,2026/03/31,18:00:00,18:30:00,茅野駅,ホテル,車(同乗),0,証票なし,,,,,旅費交通費,0,5200,25760,AZ000141,水分 香織,茅野　義洋,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017809,,4,4,2026/03/31,18:30:00,08:30:00,ホテル,,ﾎﾃﾙ,7600,証票あり,,,,1泊分,旅費交通費,7600,5200,25760,AZ000141,水分 香織,茅野　義洋,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017820,,18,1,2026/03/19,14:00:00,15:15:00,大塚（東京）,橋本（神奈川）,電車･ﾊﾞｽ,618,証票なし,401,,,,旅費交通費,618,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,2,2026/03/19,15:20:00,16:00:00,橋本駅,スクリーンプロセス,車,0,証票なし,,,,,賃借料,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,3,2026/03/19,16:00:00,19:20:00,スクリーンプロセス,,作業･打合せ,0,証票なし,,,,搬入,旅費交通費,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,4,2026/03/19,19:20:00,19:50:00,スクリーンプロセス,ホテル,車,0,証票なし,,,,,賃借料,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,5,2026/03/19,19:50:00,08:00:00,ホテル,,ﾎﾃﾙ,7885,証票あり,,,,一泊分,旅費交通費,7885,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,6,2026/03/20,08:00:00,08:30:00,ホテル,スクリーンプロセス,車,0,証票なし,401,,,,賃借料,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,7,2026/03/20,08:30:00,19:00:00,スクリーンプロセス,,作業･打合せ,0,証票なし,,,,搬入,旅費交通費,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,8,2026/03/20,19:30:00,08:30:00,ホテル,,ﾎﾃﾙ,30875,証票あり,,,,二泊分,旅費交通費,30875,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,9,2026/03/21,09:00:00,18:50:00,スクリーンプロセス,,作業･打合せ,0,証票なし,401,,,搬入,旅費交通費,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,10,2026/03/22,09:00:00,20:30:00,スクリーンプロセス,,作業･打合せ,0,証票なし,401,,,搬入,旅費交通費,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,11,2026/03/22,20:30:00,20:50:00,スクリーンプロセス,ホテル（３個目）,車,0,証票なし,,,,,賃借料,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,12,2026/03/22,20:50:00,08:30:00,ホテル（3個目）,,ﾎﾃﾙ,15770,証票あり,,,,二泊分,旅費交通費,15770,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,13,2026/03/23,08:00:00,08:00:00,駐車場,,駐車代,1200,証票あり,,,,,旅費交通費,1200,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,14,2026/03/23,09:00:00,18:00:00,スクリーンプロセス,,作業･打合せ,0,証票なし,401,,,搬入,旅費交通費,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,15,2026/03/24,08:00:00,08:00:00,駐車場,,駐車代,1800,証票あり,,,,,旅費交通費,1800,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,16,2026/03/24,09:00:00,17:30:00,スクリーンプロセス,,作業･打合せ,0,証票なし,,,,搬入,旅費交通費,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,17,2026/03/24,17:30:00,18:00:00,スクリーンプロセス,橋本駅,車,0,証票なし,,,,,賃借料,0,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017820,,18,18,2026/03/24,18:20:00,19:45:00,橋本（神奈川）,赤羽,電車･ﾊﾞｽ,662,証票なし,,,,,旅費交通費,662,10000,68810,AZ000143,品川 祐太朗,中田　雅史,2026/04/01,藤倉 亮,2026/04/02,,,高橋　昭太,2026/04/02,,
MEBAS0017821,,3,1,2026/03/31,17:30:00,18:00:00,草津（滋賀）,京都,電車･ﾊﾞｽ,410,証票なし,,,,,旅費交通費,410,0,820,AA003845,西 三照,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017821,,3,2,2026/03/31,18:30:00,20:30:00,,,作業･打合せ,0,証票なし,,,,SCREENグループ 新旧トップ歓送迎会,旅費交通費,0,0,820,AA003845,西 三照,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017821,,3,3,2026/03/31,20:45:00,21:15:00,京都,草津（滋賀）,電車･ﾊﾞｽ,410,証票なし,,,,,旅費交通費,410,0,820,AA003845,西 三照,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017822,,7,1,2026/03/30,12:15:00,17:14:00,野洲,川内（鹿児島）,電車･ﾊﾞｽ,22480,証票あり,002,,012,,旅費交通費,22480,6900,63560,AZ000159,西澤 裕貴,岡田　高明,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017822,,7,2,2026/03/30,17:14:00,17:30:00,川内駅,ニッポンレンタカー,徒歩,0,証票なし,,,,レンタカー使用,旅費交通費,0,6900,63560,AZ000159,西澤 裕貴,岡田　高明,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017822,,7,3,2026/03/30,17:30:00,09:00:00,ホテル,,ﾎﾃﾙ,8460,証票あり,,,,1泊分,旅費交通費,8460,6900,63560,AZ000159,西澤 裕貴,岡田　高明,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017822,,7,4,2026/03/30,17:30:00,09:00:00,ホテル,,駐車代,500,証票あり,,,,1泊分,旅費交通費,500,6900,63560,AZ000159,西澤 裕貴,岡田　高明,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017822,,7,5,2026/03/31,09:00:00,12:00:00,京セラ川内,,作業･打合せ,0,証票なし,,,,WO-00336886,旅費交通費,0,6900,63560,AZ000159,西澤 裕貴,岡田　高明,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017822,,7,6,2026/03/31,12:00:00,13:07:00,,,車,0,証票なし,,,,荷物発送、お昼休憩、レンタカー返却含む,賃借料,0,6900,63560,AZ000159,西澤 裕貴,岡田　高明,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017822,,7,7,2026/03/31,13:07:00,18:06:00,川内（鹿児島）,栗東,電車･ﾊﾞｽ,25220,証票あり,,,,,旅費交通費,25220,6900,63560,AZ000159,西澤 裕貴,岡田　高明,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017823,,6,1,2026/03/31,11:30:00,13:00:00,鉄道博物館,東京,電車･ﾊﾞｽ,253,証票なし,,,,定期区間利用,旅費交通費,253,3000,33793,AA003756,木内　浩一,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017823,,6,2,2026/03/31,13:09:00,15:21:00,東京,京都,電車･ﾊﾞｽ,18750,証票あり,,,,EX-IC利用,旅費交通費,18750,3000,33793,AA003756,木内　浩一,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017823,,6,3,2026/03/31,15:30:00,18:00:00,京都,京都,作業･打合せ,0,証票なし,,,,ブースで売上確認、人事考課等,旅費交通費,0,3000,33793,AA003756,木内　浩一,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017823,,6,4,2026/03/31,18:00:00,20:50:00,京都,サウザントホテル,作業･打合せ,0,証票なし,,,,歓送迎会,旅費交通費,0,3000,33793,AA003756,木内　浩一,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017823,,6,5,2026/03/31,21:00:00,21:40:00,京都,守山（滋賀）,電車･ﾊﾞｽ,490,証票なし,,,,,旅費交通費,490,3000,33793,AA003756,木内　浩一,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017823,,6,6,2026/03/31,21:50:00,21:55:00,守山,ホテル,ﾎﾃﾙ,11300,証票あり,,,016,ホテル宿泊,旅費交通費,11300,3000,33793,AA003756,木内　浩一,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,,,
MEBAS0017824,,6,1,2026/03/25,18:00:00,20:13:00,野洲事業所,ホテル,車,0,証票なし,002,,011,,賃借料,0,6900,15495,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017824,,6,2,2026/03/25,20:13:00,09:00:00,ホテル,,ﾎﾃﾙ,7695,証票あり,,,,,旅費交通費,7695,6900,15495,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017824,,6,3,2026/03/25,20:13:00,09:00:00,ホテル,,宿泊税,200,証票あり,,,,,旅費交通費,200,6900,15495,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017824,,6,4,2026/03/26,00:00:00,09:00:00,駐車場,,駐車代,700,証票あり,,,,,旅費交通費,700,6900,15495,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017824,,6,5,2026/03/26,09:00:00,11:00:00,住友電気大阪,,作業･打合せ,0,証票なし,,,,WO-00328421,旅費交通費,0,6900,15495,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017824,,6,6,2026/03/26,11:00:00,13:30:00,住友電気大阪,野洲事業所,車,0,証票なし,,,,,賃借料,0,6900,15495,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,1,2026/03/29,00:00:00,18:40:00,駐車場,,駐車代,1600,証票あり,002,,012,直行のため社有車駐車(3/27～3/29),旅費交通費,1600,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,2,2026/03/29,18:40:00,20:51:00,自宅,ホテル,車,0,証票なし,,,,,賃借料,0,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,3,2026/03/29,20:51:00,09:00:00,ホテル,,ﾎﾃﾙ,7695,証票あり,,,,,旅費交通費,7695,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,4,2026/03/29,20:51:00,09:00:00,ホテル,,宿泊税,200,証票あり,,,,,旅費交通費,200,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,5,2026/03/29,20:51:00,09:00:00,ホテル,,駐車代,1200,証票あり,,,,,旅費交通費,1200,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,6,2026/03/30,09:00:00,17:30:00,住友電気大阪,,作業･打合せ,0,証票なし,,,,WO-00328421,旅費交通費,0,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,7,2026/03/30,17:30:00,09:00:00,ホテル,,ﾎﾃﾙ,7695,証票あり,,,,,旅費交通費,7695,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,8,2026/03/30,17:30:00,09:00:00,ホテル,,宿泊税,200,証票あり,,,,,旅費交通費,200,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,9,2026/03/30,17:30:00,09:00:00,ホテル,,駐車代,1200,証票あり,,,,,旅費交通費,1200,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,10,2026/03/31,09:00:00,16:00:00,住友電気大阪,,作業･打合せ,0,証票なし,,,,WO-00328421,旅費交通費,0,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,11,2026/03/31,16:00:00,18:01:00,住友電気大阪,自宅,車,0,証票なし,,,,,賃借料,0,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017825,,12,12,2026/03/31,18:01:00,08:30:00,駐車場,,駐車代,800,証票あり,,,,直帰のため社有車駐車(3/31～4/1),旅費交通費,800,12100,32690,AZ000150,坂東 和哉,茅野　義洋,2026/04/01,福永 康平,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017826,,7,1,2026/03/31,07:20:00,10:20:00,浦和,茅野,電車･ﾊﾞｽ,3520,証票なし,002,,,JR東日本,旅費交通費,3520,1700,13020,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017826,,7,2,2026/03/31,08:00:00,10:20:00,新宿,茅野,電車･ﾊﾞｽ,2140,証票あり,,,,,旅費交通費,2140,1700,13020,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017826,,7,3,2026/03/31,10:00:00,11:00:00,茅野,キョウデン,車,0,証票なし,,,,,賃借料,0,1700,13020,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017826,,7,4,2026/03/31,11:00:00,15:00:00,キョウデン,,作業･打合せ,0,証票なし,,,,WO-00340851,旅費交通費,0,1700,13020,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017826,,7,5,2026/03/31,15:00:00,15:40:00,キョウデン,茅野,車,0,証票なし,,,,,賃借料,0,1700,13020,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017826,,7,6,2026/03/31,15:40:00,18:10:00,茅野,新宿,電車･ﾊﾞｽ,2140,証票なし,,,,,旅費交通費,2140,1700,13020,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017826,,7,7,2026/03/31,15:40:00,18:55:00,茅野,浦和,電車･ﾊﾞｽ,3520,証票なし,,,,JR東日本,旅費交通費,3520,1700,13020,AZ000133,山本　翔也,中田　雅史,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017827,,7,1,2026/03/30,12:10:00,12:25:00,大塚（東京）,上野,電車･ﾊﾞｽ,209,証票なし,001,,011,JR東日本,旅費交通費,209,10400,43439,AZ000144,影山 知紀,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017827,,7,2,2026/03/30,12:25:00,14:40:00,上野,新潟,電車･ﾊﾞｽ,15610,証票あり,,,,えきねっとにて購入,旅費交通費,15610,10400,43439,AZ000144,影山 知紀,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017827,,7,3,2026/03/30,14:40:00,17:00:00,新潟,鶴岡,電車･ﾊﾞｽ,0,証票なし,,,,2行目に含む,旅費交通費,0,10400,43439,AZ000144,影山 知紀,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017827,,7,4,2026/03/30,17:00:00,08:40:00,ホテル,,ﾎﾃﾙ,17220,証票あり,,,,宿泊数：2,旅費交通費,17220,10400,43439,AZ000144,影山 知紀,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017827,,7,5,2026/03/31,09:00:00,16:00:00,OKI鶴岡,,作業･打合せ,0,証票なし,001,,011,WO-00334843,旅費交通費,0,10400,43439,AZ000144,影山 知紀,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017827,,7,6,2026/03/31,16:00:00,18:30:00,ホテル,,作業･打合せ,0,証票なし,,,,テレワーク　上長に申請済み,旅費交通費,0,10400,43439,AZ000144,影山 知紀,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
MEBAS0017827,,7,7,2026/03/31,18:30:00,08:40:00,ホテル,,ﾎﾃﾙ,0,証票なし,,,,4行目に含む,旅費交通費,0,10400,43439,AZ000144,影山 知紀,河本　実,2026/04/01,藤倉 亮,2026/04/01,,,高橋　昭太,2026/04/01,,
